CropType,CropDays,SoilMoisture,temperature,Humidity,Irrigation
Potato,48,148,19,68,0
Garden Flowers,75,194,22,73,0
Maize,94,512,37,30,1
Sugarcane,25,713,33,54,1
Sugarcane,207,168,23,14,0
Paddy,138,646,25,25,1
Groundnuts,54,713,37,47,1
Garden Flowers,45,321,19,70,0
Potato,54,269,29,38,0
Maize,36,712,25,20,1
Paddy,110,494,29,23,1
Potato,75,331,27,39,0
Sugarcane,21,550,19,70,1
Paddy,146,555,20,38,1
Wheat,43,477,25,57,1
Potato,13,156,23,19,0
Maize,92,592,26,32,1
Potato,42,341,24,39,1
Sugarcane,18,138,25,28,0
Coffee,61,120,31,25,0
Potato,67,513,14,41,1
Potato,18,667,27,51,1
Potato,22,322,23,35,0
Pulse,44,580,27,15,1
Groundnuts,68,146,26,23,0
Paddy,78,418,24,53,1
Pulse,40,255,26,34,0
Garden Flowers,30,320,18,75,0
Paddy,119,455,39,56,1
Coffee,73,158,15,14,0
Wheat,88,880,22,15,1
Sugarcane,126,212,30,46,0
Maize,86,297,32,21,0
Wheat,117,372,22,59,1
Garden Flowers,71,323,16,63,0
Wheat,14,435,16,31,0
Wheat,15,309,28,54,0
Wheat,34,800,34,32,1
Coffee,1,540,24,30,1
Maize,25,330,29,22,1
Pulse,52,120,29,45,0
Wheat,46,300,20,14,0
Potato,93,136,23,31,0
Garden Flowers,108,200,19,69,0
Coffee,12,165,23,24,0
Potato,58,556,18,21,1
Paddy,53,888,21,41,1
Potato,76,330,18,61,0
Potato,11,225,21,24,0
Sugarcane,90,320,22,68,0
Sugarcane,4,267,35,37,0
Groundnuts,103,169,39,22,0
Potato,63,420,20,53,1
Wheat,78,629,15,28,1
Sugarcane,107,858,28,71,1
Groundnuts,28,145,35,33,0
Wheat,103,356,28,53,0
Maize,97,120,19,35,0
Sugarcane,126,252,22,38,0
Wheat,47,120,27,48,0
Sugarcane,56,215,37,21,0
Groundnuts,34,535,32,50,1
Garden Flowers,166,120,18,62,0
Sugarcane,179,707,29,71,1
Wheat,132,800,33,31,0
Paddy,15,555,30,18,1
Potato,65,219,23,27,0
Maize,76,218,33,17,0
Paddy,24,393,31,22,0
Paddy,7,308,26,24,0
Sugarcane,48,147,28,45,0
Garden Flowers,101,444,25,69,1
Groundnuts,90,550,36,22,1
Sugarcane,129,257,23,19,0
Coffee,88,320,26,14,0
Garden Flowers,127,516,33,74,1
Sugarcane,136,295,31,48,0
Groundnuts,47,211,31,18,0
Coffee,27,429,28,18,1
Wheat,107,123,26,44,0
Paddy,50,285,38,21,0
Maize,64,428,26,29,1
Paddy,6,879,32,56,1
Sugarcane,185,300,32,15,0
Maize,84,320,18,14,0
Wheat,5,482,15,46,1
Potato,51,191,15,38,0
Maize,28,430,30,24,1
Potato,49,351,14,41,1
Sugarcane,78,230,17,76,0
Potato,25,258,22,33,0
Wheat,113,181,29,35,0
Sugarcane,156,203,36,43,0
Groundnuts,106,558,20,34,1
Maize,24,731,36,32,1
Wheat,100,280,17,43,0
Wheat,75,256,15,22,0
Coffee,52,526,20,20,1
Coffee,13,162,26,16,0
Wheat,107,608,17,45,1
Maize,13,440,30,20,1
Wheat,90,300,26,18,0
Sugarcane,71,303,22,30,0
Maize,43,130,20,35,0
Coffee,71,693,18,16,1
Paddy,32,316,36,18,0
Potato,99,287,29,23,0
Groundnuts,104,229,27,19,1
Wheat,13,345,30,60,1
Wheat,109,170,21,37,0
Sugarcane,128,587,22,68,1
Wheat,113,303,26,37,1
Maize,65,341,21,31,1
Sugarcane,87,161,21,42,0
Pulse,18,300,36,37,0
Wheat,103,390,24,18,0
Maize,98,416,18,21,1
Garden Flowers,15,221,20,65,0
Wheat,166,832,33,32,0
Potato,17,264,16,41,0
Groundnuts,57,525,21,52,1
Maize,50,220,29,35,0
Wheat,21,210,26,50,0
Sugarcane,166,492,37,27,0
Paddy,70,690,30,20,1
Groundnuts,88,361,29,33,1
Sugarcane,61,486,25,69,1
Paddy,45,256,36,11,0
Coffee,23,603,27,16,1
Potato,54,459,15,68,0
Maize,85,202,30,17,0
Maize,46,340,34,31,1
Groundnuts,111,120,31,29,0
Paddy,140,736,28,42,1
Wheat,103,205,25,35,0
Coffee,83,392,24,22,1
Sugarcane,108,380,22,11,0
Sugarcane,185,398,35,32,0
Potato,46,612,19,58,1
Sugarcane,36,450,23,55,1
Sugarcane,61,427,24,69,1
Maize,65,330,30,35,0
Coffee,41,286,16,20,0
Sugarcane,57,877,25,42,1
Maize,29,357,36,32,0
Sugarcane,170,765,31,19,1
Potato,16,321,19,65,0
Paddy,82,665,20,43,1
Garden Flowers,15,233,14,70,0
Wheat,42,880,22,15,1
Potato,52,188,20,15,0
Sugarcane,126,200,21,39,0
Groundnuts,28,275,36,51,0
Groundnuts,50,147,36,18,0
Sugarcane,132,211,26,46,0
Paddy,2,362,28,29,0
Paddy,24,690,32,35,1
Garden Flowers,2,573,29,84,1
Garden Flowers,8,302,19,80,0
Sugarcane,176,388,21,25,1
Paddy,72,203,29,32,0
Wheat,60,618,15,43,1
Groundnuts,32,405,33,53,1
Sugarcane,56,792,32,62,1
Coffee,27,450,26,15,1
Sugarcane,2,200,28,22,0
Groundnuts,7,326,34,27,0
Paddy,85,130,35,36,0
Potato,70,269,29,30,0
Maize,46,505,20,18,1
Potato,84,389,15,67,0
Wheat,48,730,21,13,1
Sugarcane,88,605,28,59,1
Sugarcane,170,321,21,19,0
Sugarcane,162,335,27,17,0
Sugarcane,134,478,28,45,0
Sugarcane,179,325,35,46,0
Coffee,76,436,18,23,1
Groundnuts,88,259,34,44,0
Paddy,31,130,21,18,0
Groundnuts,21,280,24,15,0
Coffee,73,348,24,15,0
Sugarcane,145,813,30,74,1
Maize,95,166,31,40,0
Groundnuts,117,175,29,45,0
Potato,74,652,22,59,1
Coffee,84,303,28,14,0
Potato,69,722,15,26,1
Coffee,91,310,23,18,0
Sugarcane,15,120,23,28,0
Potato,5,520,16,29,1
Potato,100,146,17,62,0
Sugarcane,98,327,21,34,0
Sugarcane,85,140,31,21,0
Groundnuts,23,361,31,37,1
Garden Flowers,123,512,29,84,1
Paddy,106,221,32,20,0
Sugarcane,155,260,32,20,0
Sugarcane,6,713,30,71,1
Maize,105,178,30,33,0
Coffee,59,220,22,14,0
Potato,36,607,18,65,1
Groundnuts,108,214,39,30,0
Wheat,68,292,15,37,0
Groundnuts,44,741,23,20,1
Potato,86,456,15,69,0
Coffee,52,328,30,26,1
Sugarcane,3,555,27,28,1
Maize,31,321,37,39,0
Groundnuts,34,384,24,30,0
Potato,56,679,17,66,1
Paddy,47,249,37,23,0
Pulse,57,324,16,12,0
Garden Flowers,20,168,23,66,0
Pulse,32,444,21,29,1
Groundnuts,116,354,39,35,0
Paddy,19,515,22,22,1
Groundnuts,117,289,35,18,0
Wheat,88,550,24,53,1
Coffee,79,632,27,27,1
Garden Flowers,172,422,31,83,1
Pulse,23,617,28,23,1
Groundnuts,5,345,21,55,0
Sugarcane,160,855,27,47,1
Wheat,118,295,20,39,0
Groundnuts,31,659,26,28,1
Sugarcane,105,244,33,32,0
Potato,25,514,25,53,1
Potato,47,348,15,30,0
Sugarcane,59,449,28,15,0
Coffee,75,525,15,24,1
Potato,69,357,22,50,1
Sugarcane,173,192,25,40,0
Pulse,48,345,23,34,1
Coffee,57,433,15,22,1
Coffee,39,630,26,19,1
Maize,65,585,32,32,1
Potato,40,239,18,65,0
Sugarcane,116,398,32,42,1
Wheat,11,373,23,50,0
Wheat,39,782,31,61,1
Pulse,19,375,35,36,1
Coffee,11,255,21,28,0
Maize,42,299,37,15,0
Paddy,9,408,36,39,0
Paddy,41,889,30,43,1
Maize,33,120,25,20,0
Sugarcane,138,834,22,61,1
Potato,33,440,27,52,1
Coffee,37,349,21,28,0
Potato,39,312,22,64,1
Sugarcane,134,791,36,40,1
Paddy,46,333,24,19,0
Wheat,38,236,19,54,0
Garden Flowers,99,560,20,67,1
Potato,82,148,23,22,0
Wheat,70,366,17,21,0
Coffee,56,410,27,17,1
Coffee,15,438,24,17,1
Potato,55,735,25,64,1
Sugarcane,184,867,35,15,1
Paddy,28,400,40,12,1
Coffee,67,527,17,29,1
Coffee,55,262,22,15,0
Paddy,31,854,36,48,1
Wheat,56,391,28,35,1
Paddy,33,348,38,11,0
Garden Flowers,120,560,20,68,0
Wheat,109,365,22,40,1
Sugarcane,164,165,34,21,0
Groundnuts,24,401,20,54,1
Garden Flowers,24,790,19,61,1
Paddy,146,678,26,28,1
Sugarcane,65,134,24,11,0
Maize,23,815,34,31,1
Groundnuts,49,678,23,18,1
Groundnuts,119,220,24,48,0
Paddy,30,236,27,30,0
Potato,106,660,18,67,1
Potato,65,216,14,34,0
Coffee,23,450,21,17,1
Garden Flowers,132,795,27,61,1
Maize,6,771,28,27,1
Groundnuts,1,565,27,38,1
Sugarcane,72,794,34,51,1
Wheat,77,450,21,14,0
Coffee,19,271,27,21,0
Groundnuts,55,478,39,19,1
Wheat,64,168,30,54,0
Paddy,1,380,32,29,0
Coffee,57,568,25,17,1
Wheat,118,576,22,45,1
Groundnuts,96,145,32,20,0
Potato,53,226,18,17,0
Wheat,102,230,30,29,0
Garden Flowers,150,441,20,74,1
Sugarcane,66,217,35,49,0
Sugarcane,32,341,26,22,0
Potato,21,621,19,46,1
Sugarcane,39,364,36,19,0
Wheat,92,414,21,24,1
Sugarcane,65,413,26,28,1
Sugarcane,91,165,25,24,0
Paddy,136,545,25,48,1
Sugarcane,108,332,21,32,0
Paddy,120,366,35,27,0
Potato,59,165,16,22,0
Potato,98,660,16,64,1
Sugarcane,198,178,21,24,0
Sugarcane,57,613,34,55,1
Coffee,3,607,24,27,1
Maize,35,450,27,21,1
Paddy,15,634,33,49,1
Potato,72,276,20,38,0
Sugarcane,140,648,29,27,1
Garden Flowers,80,186,26,69,0
Garden Flowers,44,133,26,69,0
Sugarcane,198,387,21,17,0
Paddy,31,120,26,30,0
Maize,96,546,22,28,1
Garden Flowers,56,569,22,66,1
Maize,113,647,32,32,1
Sugarcane,105,367,20,48,0
Sugarcane,70,754,22,39,1
Pulse,88,491,24,31,1
Potato,92,225,20,16,0
Paddy,9,439,36,52,1
Coffee,71,330,21,21,0
Garden Flowers,65,548,18,85,1
Wheat,78,680,17,46,1
Sugarcane,187,679,26,39,1
Sugarcane,79,333,33,37,0
Wheat,29,339,18,40,0
Paddy,66,400,29,19,1
Maize,9,205,24,20,0
Potato,72,554,16,54,1
Sugarcane,207,536,35,52,1
Sugarcane,194,281,28,11,0
Sugarcane,76,149,25,41,0
Sugarcane,183,369,23,48,0
Sugarcane,26,360,37,15,0
Sugarcane,1,393,22,35,1
Maize,10,380,25,21,1
Potato,7,484,28,31,1
Maize,115,752,37,31,1
Paddy,132,219,24,11,0
Wheat,83,197,17,35,0
Coffee,52,257,24,22,0
Garden Flowers,122,414,21,65,1
Maize,34,248,34,16,0
Sugarcane,108,198,21,60,0
Maize,114,154,27,44,0
Wheat,34,713,26,32,1
Wheat,17,430,23,72,0
Coffee,47,325,25,16,0
Garden Flowers,116,340,18,70,0
Maize,98,723,32,21,1
Pulse,3,330,29,23,0
Sugarcane,37,583,36,71,1
Sugarcane,171,771,24,57,1
Coffee,54,328,15,27,1
Sugarcane,45,120,27,29,0
Garden Flowers,179,638,16,67,1
Potato,84,339,14,14,0
Groundnuts,53,741,26,36,1
Paddy,10,761,32,28,1
Sugarcane,153,347,25,11,0
Garden Flowers,137,147,22,72,0
Maize,5,570,26,24,1
Pulse,25,739,28,41,1
Wheat,36,169,21,14,0
Coffee,17,605,19,16,1
Pulse,35,372,32,46,1
Pulse,32,440,16,46,1
Wheat,112,550,28,40,0
Paddy,90,250,25,45,0
Sugarcane,76,294,32,11,0
Potato,65,536,16,61,1
Garden Flowers,77,149,18,70,0
Groundnuts,94,424,19,50,1
Maize,32,359,28,21,0
Potato,48,158,28,20,0
Coffee,43,120,18,14,0
Paddy,61,250,29,26,0
Coffee,73,596,24,27,1
Sugarcane,124,623,28,45,1
Wheat,77,339,29,39,0
Potato,12,498,20,36,1
Groundnuts,94,230,21,18,0
Paddy,75,408,21,35,1
Potato,41,151,28,37,0
Paddy,83,250,25,34,0
Potato,11,218,18,23,0
Wheat,54,281,20,16,0
Paddy,30,834,28,44,1
Sugarcane,131,206,24,34,0
Sugarcane,186,178,30,19,0
Potato,91,626,23,64,1
Potato,94,212,17,31,0
Groundnuts,15,283,30,41,0
Wheat,95,171,28,26,0
Groundnuts,21,221,26,34,0
Potato,49,408,14,29,1
Potato,4,437,20,43,1
Maize,92,217,27,43,0
Sugarcane,183,265,36,38,0
Garden Flowers,24,447,21,71,1
Sugarcane,58,388,32,30,0
Potato,49,144,23,26,0
Potato,38,429,29,41,1
Garden Flowers,110,519,14,69,1
Maize,46,375,32,27,0
Coffee,47,662,19,22,1
Groundnuts,86,789,29,15,1
Sugarcane,111,899,25,71,1
Garden Flowers,53,358,18,72,0
Sugarcane,157,877,22,71,1
Coffee,9,698,17,24,1
Coffee,55,164,26,14,0
Groundnuts,83,360,36,23,0
Maize,43,511,32,19,1
Sugarcane,84,296,32,48,0
Potato,24,359,16,68,0
Groundnuts,47,750,33,15,1
Potato,7,550,18,68,1
Sugarcane,122,244,24,47,0
Wheat,16,398,25,33,0
Groundnuts,62,231,27,18,0
Sugarcane,152,369,24,49,0
Garden Flowers,57,350,16,80,0
Maize,90,358,30,19,1
Maize,40,721,20,18,1
Garden Flowers,43,379,28,68,1
Garden Flowers,164,354,14,67,0
Maize,68,197,24,37,0
Groundnuts,67,254,33,45,0
Wheat,102,304,28,41,1
Sugarcane,41,330,15,80,0
Maize,111,299,37,26,0
Paddy,82,485,26,37,1
Wheat,19,586,29,33,1
Coffee,33,230,21,28,0
Paddy,49,719,38,55,1
Coffee,60,507,18,25,1
Sugarcane,9,410,20,69,1
Maize,21,791,29,20,1
Potato,58,695,21,24,1
Wheat,15,607,24,51,1
Wheat,80,850,22,16,1
Wheat,27,241,15,15,0
Wheat,77,245,24,53,0
Garden Flowers,109,238,19,64,0
Sugarcane,192,679,25,21,1
Maize,21,142,26,30,0
Maize,98,210,25,14,0
Potato,22,137,25,40,0
Sugarcane,165,253,26,42,0
Potato,14,227,27,22,0
Paddy,129,189,37,22,0
Wheat,55,348,22,22,0
Maize,29,727,18,18,1
Pulse,6,500,30,19,1
Paddy,54,700,42,33,1
Sugarcane,13,540,16,75,1
Wheat,20,743,31,51,1
Groundnuts,60,651,36,35,1
Groundnuts,29,761,21,50,1
Sugarcane,84,207,37,32,0
Groundnuts,26,398,27,22,0
Paddy,61,899,35,64,1
Groundnuts,59,558,27,29,1
Wheat,35,619,30,44,1
Sugarcane,205,370,24,51,1
Maize,61,531,22,26,1
Potato,82,207,16,17,0
Coffee,1,209,30,28,0
Coffee,37,330,15,17,0
Groundnuts,100,375,34,31,0
Wheat,14,458,16,63,1
Sugarcane,120,189,25,50,0
Potato,1,317,18,11,0
Garden Flowers,54,598,28,67,1
Sugarcane,125,793,29,64,1
Paddy,141,350,31,13,0
