Area,Year,Item,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Albania,1990,Rice,23333.0,1485.0,121.0,16.37
Albania,1991,Rice,28538.003,1485.0,121.0,15.36
Albania,1992,Rice,40000.0,1485.0,121.0,16.06
Albania,1993,Rice,41786.003000000004,1485.0,121.0,16.05
Algeria,1990,Rice,28000.002,89.0,1828.92,17.48
Algeria,1991,Rice,26786.002999999997,89.0,2461.8,16.26
Algeria,1992,Rice,24739.0,89.0,1215.47,16.27
Algeria,1993,Rice,23121.002,89.0,1021.89,17.0
Algeria,1994,Rice,21387.0,89.0,1255.02,17.88
Algeria,1995,Rice,19615.0,89.0,2697.09,17.36
Algeria,1996,Rice,17881.0,89.0,479.77,16.76
Algeria,1997,Rice,15000.001,89.0,401.22,17.84
Algeria,1998,Rice,15032.000000000002,89.0,322.84,17.14
Algeria,1999,Rice,13983.002,89.0,654.45,17.97
Algeria,2000,Rice,13101.001,89.0,603.67,17.9
Algeria,2001,Rice,12371.0,89.0,710.11,18.13
Algeria,2002,Rice,13050.001,89.0,816.55,17.85
Algeria,2004,Rice,12891.0,89.0,3747.86,17.38
Algeria,2005,Rice,13053.001,89.0,3662.87,17.19
Algeria,2006,Rice,12804.0,89.0,4110.72,18.13
Algeria,2007,Rice,13407.0,89.0,5390.79,17.42
Algeria,2008,Rice,13979.001,89.0,11556.12,17.55
Algeria,2009,Rice,14615.0,89.0,3867.99,17.78
Algeria,2010,Rice,15320.001,89.0,1295.88,17.59
Algeria,2011,Rice,16089.001,89.0,13861.76,17.79
Algeria,2012,Rice,16667.0,89.0,17379.76,17.91
Algeria,2013,Rice,17778.001,89.0,17278.65,17.65
Angola,1990,Rice,9512.000699999999,1010.0,64.0,24.12
Angola,1991,Rice,10000.0,1010.0,79.0,24.02
Angola,1992,Rice,9142.0007,1010.0,23.0,23.96
Angola,1993,Rice,8000.0,1010.0,169.0,24.15
Angola,1994,Rice,8750.0006,1010.0,25.5,24.04
Angola,1995,Rice,14615.0,1010.0,336.0,24.56
Angola,1996,Rice,17500.001,1010.0,40.0,24.11
Angola,1997,Rice,20000.0,1010.0,40.0,24.06
Angola,1998,Rice,20000.0,1010.0,40.0,24.96
Angola,1999,Rice,14235.001,1010.0,40.0,24.37
Angola,2000,Rice,13454.001,1010.0,40.0,24.41
Angola,2001,Rice,13701.000000000002,1010.0,40.0,24.43
Angola,2002,Rice,13198.000999999998,1010.0,40.0,24.79
Angola,2004,Rice,11584.000000000002,1010.0,40.0,24.22
Angola,2005,Rice,6977.0,1010.0,40.0,24.41
Angola,2006,Rice,4947.0004,1010.0,40.0,24.14
Angola,2007,Rice,5143.0,1010.0,40.0,24.24
Angola,2008,Rice,5084.0,1010.0,40.0,24.27
Angola,2009,Rice,6028.0,1010.0,40.0,24.33
Angola,2010,Rice,7403.0,1010.0,40.0,24.44
Angola,2011,Rice,8914.000399999999,1010.0,40.0,24.15
Angola,2012,Rice,7703.000300000001,1010.0,40.0,24.24
Angola,2013,Rice,12744.001,1010.0,40.0,24.55
Argentina,1990,Rice,36709.0,591.0,26156.0,17.46
Argentina,1991,Rice,40294.0,591.0,26156.0,17.64
Argentina,1992,Rice,52075.005,591.0,26156.0,17.09
Argentina,1993,Rice,43559.003,591.0,26156.0,17.32
Argentina,1994,Rice,42989.0,591.0,30195.0,18.17
Argentina,1995,Rice,50306.005000000005,591.0,37842.0,17.74
Argentina,1996,Rice,51031.003000000004,591.0,54595.0,17.64
Argentina,1997,Rice,53703.003000000004,591.0,77691.0,18.29
Argentina,1998,Rice,47762.003000000004,591.0,62397.0,17.23
Argentina,1999,Rice,57337.003,591.0,62831.39,17.15
Argentina,2000,Rice,47798.0,591.0,63265.78,16.98
Argentina,2001,Rice,57495.003000000004,591.0,63700.17,17.71
Argentina,2002,Rice,57197.003000000004,591.0,64134.56,17.58
Argentina,2004,Rice,62661.004,591.0,65003.34,17.67
Argentina,2005,Rice,60165.005000000005,591.0,65437.73,17.32
Argentina,2006,Rice,70610.003,591.0,65872.12,18.1
Argentina,2007,Rice,65604.0,591.0,81582.64,16.71
Argentina,2008,Rice,68278.003,591.0,87149.01,17.71
Argentina,2009,Rice,68842.006,591.0,61586.56,18.16
Argentina,2010,Rice,57646.003,591.0,105915.04,17.33
Argentina,2011,Rice,67901.006,591.0,100424.62,17.58
Argentina,2012,Rice,66617.007,591.0,136185.08,18.18
Australia,1990,Rice,88000.0,534.0,17866.0,16.8
Australia,1991,Rice,88427.01,534.0,17866.0,16.78
Australia,1992,Rice,88346.0,534.0,22234.0,15.78
Australia,1993,Rice,76400.003,534.0,23899.0,16.71
Australia,1994,Rice,81537.01,534.0,21057.0,16.43
Australia,1995,Rice,88003.01,534.0,25598.0,16.14
Australia,1996,Rice,63540.0,534.0,31185.0,16.12
Australia,1997,Rice,83263.01000000001,534.0,34091.0,16.48
Australia,1998,Rice,94256.0,534.0,37215.0,16.28
Australia,1999,Rice,91615.0,534.0,34200.0,16.77
Australia,2000,Rice,82573.00000000001,534.0,33475.0,17.08
Australia,2001,Rice,93071.0,534.0,32710.0,16.63
Australia,2002,Rice,82579.99999999999,534.0,26651.0,16.63
Australia,2004,Rice,83305.01,534.0,36276.0,16.64
Australia,2005,Rice,66168.003,534.0,34310.0,16.93
Australia,2006,Rice,98176.0,534.0,35900.0,16.75
Australia,2007,Rice,82609.005,534.0,32446.25,17.49
Australia,2008,Rice,75988.0,534.0,42935.38,16.7
Australia,2009,Rice,84609.01,534.0,38065.68,17.39
Australia,2010,Rice,103895.01,534.0,42169.39,16.72
Australia,2011,Rice,95441.0,534.0,47632.99,16.9
Australia,2012,Rice,89098.01,534.0,48687.88,16.84
Australia,2013,Rice,102177.01,534.0,45177.18,17.39
Azerbaijan,1992,Rice,7292.0007,447.0,148.68,10.93
Azerbaijan,1993,Rice,9461.0,447.0,148.68,10.53
Azerbaijan,1994,Rice,10059.0,447.0,148.68,11.32
Azerbaijan,1995,Rice,19890.001,447.0,148.68,12.81
Azerbaijan,1996,Rice,36917.002,447.0,148.68,11.96
Azerbaijan,1997,Rice,46082.006,447.0,148.68,11.89
Azerbaijan,1998,Rice,48046.002,447.0,148.68,12.79
Azerbaijan,1999,Rice,44414.99999999999,447.0,148.68,12.74
Azerbaijan,2000,Rice,50191.0,447.0,148.68,12.61
Azerbaijan,2001,Rice,48495.0,447.0,148.68,12.97
Azerbaijan,2002,Rice,46532.006,447.0,148.68,12.45
Azerbaijan,2004,Rice,39810.002,447.0,148.68,12.76
Azerbaijan,2005,Rice,35903.003,447.0,148.68,12.88
Azerbaijan,2006,Rice,42375.0,447.0,148.68,12.66
Azerbaijan,2007,Rice,33886.003,447.0,148.68,12.75
Azerbaijan,2008,Rice,27973.0,447.0,262.99,12.3
Azerbaijan,2009,Rice,25278.999999999996,447.0,316.18,12.6
Azerbaijan,2010,Rice,23963.0,447.0,333.85,13.85
Azerbaijan,2011,Rice,20947.0,447.0,461.84,11.79
Azerbaijan,2012,Rice,22249.0,447.0,516.35,13.0
Azerbaijan,2013,Rice,22808.0,447.0,489.8,14.12
Bangladesh,1990,Rice,25661.001,2666.0,1266.0,25.98
Bangladesh,1991,Rice,26277.0,2666.0,1287.0,25.85
Bangladesh,1992,Rice,27253.0,2666.0,1453.0,25.86
Bangladesh,1993,Rice,27247.0,2666.0,1487.0,25.73
Bangladesh,1994,Rice,26032.0,2666.0,1594.5,25.91
Bangladesh,1995,Rice,25858.002,2666.0,1702.0,26.09
Bangladesh,1996,Rice,27557.0,2666.0,1919.0,26.15
Bangladesh,1997,Rice,26859.0,2666.0,2035.0,25.55
Bangladesh,1998,Rice,27683.003,2666.0,2068.0,26.13
Bangladesh,1999,Rice,32024.0,2666.0,2532.0,26.31
Bangladesh,2000,Rice,33959.0,2666.0,3170.0,25.91
Bangladesh,2001,Rice,34470.003,2666.0,3295.78,25.93
Bangladesh,2002,Rice,34683.0,2666.0,2954.29,26.1
Bangladesh,2004,Rice,35359.0,2666.0,5587.81,26.14
Bangladesh,2005,Rice,37623.003000000004,2666.0,7605.01,26.19
Bangladesh,2006,Rice,38021.002,2666.0,9074.43,26.44
Bangladesh,2007,Rice,38342.001,2666.0,10962.31,25.95
Bangladesh,2008,Rice,41992.006,2666.0,12936.5,26.0
Bangladesh,2009,Rice,41884.003,2666.0,13790.09,26.54
Bangladesh,2010,Rice,43154.0,2666.0,13283.72,26.65
Bangladesh,2011,Rice,44067.99999999999,2666.0,14798.28,25.8
Bangladesh,2012,Rice,44212.99999999999,2666.0,13289.18,26.28
Bangladesh,2013,Rice,45142.0,2666.0,15330.16,26.59
Brazil,1990,Rice,18803.002,1761.0,49695.0,21.88
Brazil,1991,Rice,23020.0,1761.0,58349.44,21.43
Brazil,1992,Rice,21349.0,1761.0,67003.89,21.35
Brazil,1993,Rice,22912.002,1761.0,75658.33,21.94
Brazil,1994,Rice,23876.002,1761.0,84312.78,21.91
Brazil,1995,Rice,25668.000000000004,1761.0,92967.22,22.07
Brazil,1996,Rice,26578.002,1761.0,101621.67,21.56
Brazil,1997,Rice,27310.002,1761.0,110276.11,21.91
Brazil,1998,Rice,25198.002,1761.0,118930.56,22.35
Brazil,1999,Rice,30708.003,1761.0,127585.0,21.59
Brazil,2000,Rice,30382.001,1761.0,140423.0,21.69
Brazil,2002,Rice,33246.002,1761.0,145552.0,22.5
Bulgaria,1990,Rice,23785.002,608.0,3906.0,9.51
Bulgaria,1991,Rice,25397.0,608.0,3906.0,8.14
Bulgaria,1992,Rice,32042.0,608.0,3906.0,9.07
Bulgaria,1993,Rice,34761.002,608.0,3777.25,9.0
Bulgaria,1994,Rice,37195.0,608.0,3648.5,10.23
Bulgaria,1995,Rice,36116.002,608.0,3519.75,8.69
Bulgaria,1996,Rice,33891.003,608.0,3391.0,8.44
Bulgaria,1997,Rice,29871.001,608.0,3262.25,8.26
Bulgaria,1998,Rice,31467.001,608.0,3133.5,9.16
Bulgaria,1999,Rice,49400.00000000001,608.0,3004.75,9.67
Bulgaria,2000,Rice,47001.004,608.0,2876.0,9.9
